District,Gas Stove -Yes,Refrigerator/Freezer,Clothes washer,Car/van/autombile,Motorcycle,Cellular Phone,No Cable/satellite Tv,Average Age
 Andajes,52.0,52.0,3.0,7.0,4.0,160.0,217.0,46.0805860805861
 Andamarca,104.0,104.0,2.0,3.0,24.0,433.0,1064.0,31.181610508281
 Andarapa,808.0,808.0,,6.0,9.0,1161.0,1766.0,33.7992306283202
 Andaray,74.0,74.0,1.0,7.0,3.0,111.0,166.0,39.1137370753323
 Andaymarca,151.0,151.0,3.0,6.0,38.0,504.0,671.0,28.7564264643911
 Andoas,152.0,152.0,21.0,3.0,18.0,352.0,2290.0,19.2780433669114
 Andrés Avelino Cáceres Dorregaray,6219.0,6219.0,1430.0,1021.0,657.0,6475.0,5642.0,28.4997541444226
 Angasmarca,231.0,231.0,16.0,20.0,45.0,905.0,1233.0,30.0528066528067
 Anguia,142.0,142.0,3.0,4.0,12.0,713.0,924.0,32.0868888196823
 Anra,137.0,137.0,3.0,10.0,15.0,318.0,420.0,34.7936857562408
 Anta,1641.3333333333333,1641.3333333333333,149.0,226.33333333333334,170.66666666666666,2162.6666666666665,2476.6666666666665,30.22610772873283
 Antabamba,604.0,604.0,23.0,34.0,26.0,561.0,1006.0,35.3757204610951
 Antauta,743.0,743.0,17.0,46.0,152.0,899.0,1389.0,31.7122597499534
 Antioquia,322.0,322.0,18.0,34.0,90.0,279.0,167.0,34.2261224489796
 Antonio Raymondi,130.0,130.0,8.0,8.0,4.0,211.0,349.0,40.1207243460765
 Aparicio Pomares,124.0,124.0,,6.0,7.0,945.0,1546.0,29.8857444561774
 Apata,395.0,395.0,30.0,64.0,52.0,875.0,1279.0,33.2724089635854
 Aplao,2319.0,2319.0,511.0,457.0,229.0,2473.0,1619.0,34.1965619442798
 Apongo,44.0,44.0,,1.0,,141.0,320.0,40.3333333333333
 Aquia,304.0,304.0,30.0,24.0,14.0,459.0,551.0,33.699806013579
 Arahuay,203.0,203.0,5.0,11.0,8.0,170.0,210.0,45.243288590604
 Aramango,1081.0,1081.0,24.0,52.0,218.0,1695.0,2593.0,29.1819764464926
 Arancay,113.0,113.0,4.0,2.0,17.0,302.0,371.0,32.3384955752212
 Arapa,1277.0,1277.0,13.0,49.0,483.0,1855.0,2480.0,34.4458689458689
 Arenal,202.0,202.0,18.0,15.0,31.0,291.0,278.0,35.4542253521127
 Arequipa,15213.0,15213.0,11723.0,6230.0,981.0,15521.0,5332.0,39.2293233760846
 Arma,156.0,156.0,7.0,3.0,7.0,241.0,398.0,40.9662231320368
 Ascensión,3148.0,3148.0,306.0,240.0,148.0,3114.0,2906.0,29.443016831556
 Ascope,1553.0,1553.0,579.0,136.0,279.0,1535.0,670.0,35.3786753327143
 Asia,2464.0,2464.0,714.0,462.0,829.0,2386.0,1275.0,28.8515944399019
 Asillo,1534.0,1534.0,15.0,90.0,618.0,3747.0,5190.0,32.1350455675228
 Asquipata,128.0,128.0,,,2.0,158.0,234.0,49.9195652173913
 Asunción,588.5,588.5,26.0,23.0,11.0,868.5,1249.0,35.01816210244335
 Ataquero,128.0,128.0,1.0,22.0,3.0,323.0,458.0,34.1565690946222
 Ataura,259.0,259.0,11.0,11.0,10.0,303.0,352.0,34.379746835443
 Atavillos Alto,138.0,138.0,,19.0,13.0,183.0,194.0,44.6433770014556
 Atavillos Bajo,226.0,226.0,14.0,25.0,5.0,262.0,233.0,47.3159645232816
 Ate,158192.0,158192.0,65444.0,29152.0,8888.0,153138.0,61569.0,30.3872856294101
 Atico,1447.0,1447.0,333.0,217.0,414.0,1427.0,530.0,31.6665388302972
 Atiquipa,138.0,138.0,16.0,19.0,68.0,131.0,110.0,33.6807610993658
 Atuncolla,427.0,427.0,4.0,16.0,282.0,886.0,1639.0,30.4834248079034
 Aucallama,4177.0,4177.0,845.0,507.0,709.0,4061.0,2394.0,32.6360460337032
 Aucara,713.0,713.0,3.0,12.0,23.0,1087.0,1558.0,44.0582156389941
 Aurahua,78.0,78.0,1.0,,5.0,310.0,498.0,29.9318801089918
 Awajun,1031.0,1031.0,24.0,36.0,460.0,1408.0,1428.0,24.0624415028747
 Ayabaca,2491.0,2491.0,97.0,126.0,386.0,4371.0,7923.0,31.0186049526773
 Ayacucho,24197.0,24197.0,5908.0,3184.0,2322.0,24979.0,18991.0,30.1104931256097
 Ayahuanco,100.0,100.0,1.0,7.0,11.0,274.0,412.0,32.304347826087
 Ayapata,1324.0,1324.0,6.0,15.0,78.0,2139.0,3783.0,31.2737928809549
 Ayavi,53.0,53.0,,2.0,,77.0,332.0,38.9275167785235
 Ayaviri,3157.0,3157.0,152.0,332.0,1108.0,3366.0,3630.0,34.96033985312025
 Ayna,1663.0,1663.0,104.0,100.0,236.0,2220.0,1650.0,29.8663153366315
 Ayo,42.0,42.0,,2.0,2.0,81.0,111.0,50.8471074380165
 Azangaro,102.0,102.0,1.0,,22.0,111.0,156.0,33.9863636363636
 Azángaro,5888.0,5888.0,192.0,319.0,2370.0,8044.0,9546.0,29.5673096109079
 Bagua,6027.0,6027.0,909.0,304.0,2173.0,6285.0,4018.0,31.2268098295329
 Bagua Grande,9997.0,9997.0,868.0,475.0,2864.0,12244.0,10575.0,29.2229696504789
 Bajo Biavo,1018.0,1018.0,55.0,53.0,450.0,1890.0,2812.0,25.9765172308631
 Balsapuerto,197.0,197.0,10.0,3.0,19.0,701.0,2895.0,20.4491865470198
 Balsas,127.0,127.0,10.0,13.0,21.0,247.0,329.0,31.1496478873239
 Bambamarca,3002.5,3002.5,248.5,155.5,979.0,7155.0,9722.5,29.010923656817297
